Model loaded in 0.2486886978149414 seconds
data num: 1000000
Encoded trajectory loaded, time: 81.11007499694824
data num: 1000
Encoded trajectory loaded, time: 0.12673735618591309
Data loaded in 81.33220791816711 seconds
start training from iteration 0
Iteration 18000     |  Loss: 0.79463065  |  Test Loss: 0.76701367  |  Test Acc: 65.61%   |  Error Rate: 11.00%   |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.52%  |  Length 110% rate: 40.11%   |
Iteration 18500     |  Loss: 0.78672743  |  Test Loss: 0.77044863  |  Test Acc: 65.47%   |  Error Rate: 9.50%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.09%  |  Length 110% rate: 39.12%   |
Iteration 19000     |  Loss: 0.75307781  |  Test Loss: 0.76380032  |  Test Acc: 66.01%   |  Error Rate: 7.90%    |  Real True Rate: 24.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.91%  |  Length 110% rate: 38.87%   |
Iteration 19500     |  Loss: 0.78663266  |  Test Loss: 0.75998771  |  Test Acc: 65.70%   |  Error Rate: 10.30%   |  Real True Rate: 24.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.47%  |  Length 110% rate: 40.58%   |
Iteration 20000     |  Loss: 0.79357058  |  Test Loss: 0.76869458  |  Test Acc: 65.62%   |  Error Rate: 5.30%    |  Real True Rate: 24.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.43%  |  Length 110% rate: 37.70%   |
Model saved at iteration 20000
Iteration 20500     |  Loss: 0.77224112  |  Test Loss: 0.76274443  |  Test Acc: 65.66%   |  Error Rate: 9.60%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.77%  |  Length 110% rate: 39.05%   |
Iteration 21000     |  Loss: 0.79639256  |  Test Loss: 0.77100521  |  Test Acc: 65.70%   |  Error Rate: 6.40%    |  Real True Rate: 23.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.18%  |  Length 110% rate: 37.29%   |
Iteration 21500     |  Loss: 0.78396660  |  Test Loss: 0.75717562  |  Test Acc: 65.59%   |  Error Rate: 10.10%   |  Real True Rate: 24.60%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.85%  |  Length 110% rate: 39.71%   |
Iteration 22000     |  Loss: 0.74938697  |  Test Loss: 0.76800323  |  Test Acc: 65.65%   |  Error Rate: 8.90%    |  Real True Rate: 23.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.98%  |  Length 110% rate: 39.19%   |
Iteration 22500     |  Loss: 0.75858217  |  Test Loss: 0.76395965  |  Test Acc: 65.27%   |  Error Rate: 6.20%    |  Real True Rate: 23.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.73%  |  Length 110% rate: 38.49%   |
Iteration 23000     |  Loss: 0.75778937  |  Test Loss: 0.76459253  |  Test Acc: 65.58%   |  Error Rate: 6.20%    |  Real True Rate: 24.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.41%  |  Length 110% rate: 37.10%   |
Iteration 23500     |  Loss: 0.76608115  |  Test Loss: 0.75726879  |  Test Acc: 66.16%   |  Error Rate: 6.20%    |  Real True Rate: 24.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.76%  |  Length 110% rate: 37.63%   |
Iteration 24000     |  Loss: 0.71664190  |  Test Loss: 0.76781410  |  Test Acc: 65.37%   |  Error Rate: 9.30%    |  Real True Rate: 24.50%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.72%  |  Length 110% rate: 38.92%   |
Iteration 24500     |  Loss: 0.79655594  |  Test Loss: 0.76333064  |  Test Acc: 65.93%   |  Error Rate: 6.70%    |  Real True Rate: 25.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.03%  |  Length 110% rate: 39.01%   |
Iteration 25000     |  Loss: 0.77329612  |  Test Loss: 0.76496851  |  Test Acc: 65.74%   |  Error Rate: 8.90%    |  Real True Rate: 25.40%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.06%  |  Length 110% rate: 39.96%   |
Iteration 25500     |  Loss: 0.74365717  |  Test Loss: 0.76102787  |  Test Acc: 65.69%   |  Error Rate: 6.60%    |  Real True Rate: 24.30%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 119.10%  |  Length 110% rate: 36.30%   |
Iteration 26000     |  Loss: 0.78471774  |  Test Loss: 0.76581925  |  Test Acc: 65.82%   |  Error Rate: 7.20%    |  Real True Rate: 24.70%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.54%  |  Length 110% rate: 38.15%   |
Iteration 26500     |  Loss: 0.75852501  |  Test Loss: 0.75700748  |  Test Acc: 65.42%   |  Error Rate: 6.10%    |  Real True Rate: 25.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.45%  |  Length 110% rate: 37.70%   |
Iteration 27000     |  Loss: 0.78701341  |  Test Loss: 0.76216531  |  Test Acc: 65.81%   |  Error Rate: 4.80%    |  Real True Rate: 25.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.35%  |  Length 110% rate: 37.61%   |
